epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.6476,0.66126,0.76562,1,0.4917,0.00325581,0.00325581,0.0706977
2,40.4524,0.56505,0.64062,1,0.74646,0.00652391,0.00652391,0.0406324
3,56.0907,0.58713,0.85156,1,0.34637,0.00972602,0.00972602,0.0105012
4,71.2946,0.60967,0.53125,1,0.85779,0.009703,0.009703,0.009703
5,87.4244,0.63167,0.54688,1,1.2356,0.009604,0.009604,0.009604
6,103.677,0.58949,0.52344,1,0.72839,0.009505,0.009505,0.009505
7,120.333,0.58239,0.64844,1,0.75732,0.009406,0.009406,0.009406
8,135.195,0.54776,0.78906,1,0.43707,0.009307,0.009307,0.009307
9,151.237,0.50258,0.8125,1,0.34039,0.009208,0.009208,0.009208
10,166.727,0.5028,0.71875,1,0.51489,0.009109,0.009109,0.009109
11,182.955,0.47796,0.71875,1,0.59937,0.00901,0.00901,0.00901
12,197.815,0.54496,0.76562,1,0.44257,0.008911,0.008911,0.008911
13,213.884,0.56047,0.83594,1,0.36771,0.008812,0.008812,0.008812
14,229.135,0.50281,0.73438,1,0.53741,0.008713,0.008713,0.008713
15,244.986,0.49172,0.82031,1,0.35382,0.008614,0.008614,0.008614
16,259.931,0.48375,0.82812,1,0.42499,0.008515,0.008515,0.008515
17,274.997,0.45423,0.90625,1,0.28333,0.008416,0.008416,0.008416
18,289.68,0.47043,0.79688,1,0.41113,0.008317,0.008317,0.008317
19,304.604,0.49477,0.6875,1,0.67505,0.008218,0.008218,0.008218
20,319.924,0.46601,0.70312,1,0.49713,0.008119,0.008119,0.008119
21,334.795,0.52541,0.85156,1,0.31766,0.00802,0.00802,0.00802
22,349.822,0.49811,0.78906,1,0.36395,0.007921,0.007921,0.007921
23,364.925,0.49298,0.85156,1,0.33133,0.007822,0.007822,0.007822
24,380.552,0.5233,0.85156,1,0.33041,0.007723,0.007723,0.007723
25,395.758,0.46079,0.89844,1,0.31982,0.007624,0.007624,0.007624
26,410.363,0.47062,0.85938,1,0.31586,0.007525,0.007525,0.007525
27,426.004,0.43968,0.8125,1,0.33893,0.007426,0.007426,0.007426
28,441.072,0.42884,0.88281,1,0.29114,0.007327,0.007327,0.007327
29,456.142,0.43213,0.77344,1,0.35645,0.007228,0.007228,0.007228
30,471.666,0.45878,0.8125,1,0.35266,0.007129,0.007129,0.007129
31,486.977,0.43298,0.83594,1,0.35162,0.00703,0.00703,0.00703
32,501.677,0.51385,0.85156,1,0.30768,0.006931,0.006931,0.006931
33,517.386,0.45464,0.84375,1,0.3204,0.006832,0.006832,0.006832
34,532.637,0.42997,0.82812,1,0.34229,0.006733,0.006733,0.006733
35,547.865,0.40368,0.89062,1,0.27136,0.006634,0.006634,0.006634
36,563.047,0.42771,0.875,1,0.24185,0.006535,0.006535,0.006535
37,578.336,0.38927,0.86719,1,0.30829,0.006436,0.006436,0.006436
