epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.97,2.02197,4.5703,5.06203,0.0263,5.77208,0.00287,0.90291,0.00948,0.0032,0.00244,0.76699,0.00942,0.00226,1.53288,2.90909,5.03254,0.029,0,0.0018,0.0018,0.0838
2,44.2723,1.22932,2.58775,3.81794,0.01423,2.51787,0.00318,1,0.07626,0.04278,0.00318,1,0.07401,0.03976,0.85064,1.6835,4.27797,0.01382,0,0.00368168,0.00368168,0.0666817
3,52.1919,1.18932,1.84699,2.77121,0.01259,1.13573,0.00318,1,0.61502,0.38672,0.00318,1,0.61571,0.33522,0.78466,1.39976,3.94598,0.01192,0,0.00554456,0.00554456,0.0495446
4,59.8478,1.13024,1.79436,2.38537,0.0118,0.9717,0.00318,1,0.76274,0.45799,0.00318,1,0.75473,0.33632,0.90117,1.51741,3.06664,0.01479,0,0.00738862,0.00738862,0.0323886
5,67.5982,1.14221,1.60679,2.25572,0.012,0.8351,0.91326,0.30671,0.72937,0.50081,0.91326,0.30671,0.72937,0.43491,0.97977,1.24629,2.41272,0.01679,0,0.00921388,0.00921388,0.0152139
6,75.4653,1.22271,1.64554,1.96654,0.01267,0.78706,0.67287,0.57916,0.67821,0.41572,0.67287,0.57916,0.67821,0.39905,1.19311,1.34736,2.22611,0.02162,0,0.0097525,0.0097525,0.0097525
7,83.2195,1.17026,1.60375,1.82261,0.01343,0.77901,0.78636,0.78641,0.86507,0.54663,0.7742,0.7767,0.85582,0.46574,1.16334,1.52803,1.64698,0.02092,0,0.009703,0.009703,0.009703
8,91.2821,1.22821,1.5638,1.65945,0.01346,0.93204,0.81051,0.74749,0.84145,0.5793,0.81051,0.74749,0.84145,0.49462,1.04744,1.30759,1.46183,0.019,0,0.0096535,0.0096535,0.0096535
9,99.206,1.17068,1.51301,1.60274,0.0137,0.87381,0.62914,0.71845,0.7503,0.49432,0.62914,0.71845,0.7503,0.45045,1.25349,1.17128,1.51934,0.02264,0,0.009604,0.009604,0.009604
10,107.074,1.24418,1.54423,1.42932,0.01349,0.80555,0.771,0.81722,0.87678,0.60617,0.771,0.81722,0.87678,0.53733,1.12896,1.16229,1.15045,0.01935,0,0.0095545,0.0095545,0.0095545
11,114.894,1.23686,1.43664,1.32506,0.01282,0.72902,0.77656,0.87733,0.90432,0.58369,0.76797,0.86762,0.89556,0.56204,1.27656,1.15823,0.95455,0.02144,0,0.009505,0.009505,0.009505
12,122.556,1.17862,1.37872,1.22516,0.01277,0.67439,0.82946,0.93204,0.90865,0.59238,0.82946,0.93204,0.90865,0.54266,1.26255,1.38736,0.81233,0.0222,0,0.0094555,0.0094555,0.0094555
13,130.269,1.22014,1.4054,1.22748,0.01281,0.66946,0.81781,0.92233,0.93337,0.6152,0.8092,0.91262,0.92267,0.52746,1.29209,1.36712,0.81047,0.02412,0,0.009406,0.009406,0.009406
14,138.086,1.1949,1.51741,1.22598,0.01286,0.69105,0.88584,0.82872,0.92065,0.56849,0.87566,0.82048,0.89504,0.50465,1.37058,1.41115,0.81153,0.02716,0,0.0093565,0.0093565,0.0093565
15,145.817,1.20066,1.45892,1.12701,0.0129,0.67776,0.8364,0.89345,0.92932,0.64511,0.8364,0.89345,0.92932,0.55421,1.20943,1.10459,0.82677,0.02267,0,0.009307,0.009307,0.009307
16,153.949,1.22383,1.37202,0.97687,0.01339,0.70668,0.70102,0.91262,0.88712,0.53629,0.70102,0.91262,0.88712,0.53805,1.41131,1.28225,0.8719,0.02826,0,0.0092575,0.0092575,0.0092575
17,161.704,1.2479,1.42647,1.0224,0.01324,0.65624,0.84995,0.97087,0.94825,0.62953,0.84995,0.97087,0.94825,0.60484,1.21812,1.14734,0.60262,0.0214,0,0.009208,0.009208,0.009208
18,169.969,1.19223,1.35179,0.92887,0.01265,0.6662,0.92428,0.94811,0.9626,0.65721,0.92428,0.94811,0.9626,0.59673,1.1845,1.17305,0.56554,0.02115,0,0.0091585,0.0091585,0.0091585
19,177.625,1.19851,1.40324,0.97183,0.01302,0.66347,0.90949,0.87808,0.94613,0.63099,0.90949,0.87808,0.94613,0.61229,1.16973,1.05171,0.58504,0.02022,0,0.009109,0.009109,0.009109
20,185.339,1.20004,1.38364,0.94633,0.01322,0.62945,0.85944,0.91262,0.93539,0.63473,0.85944,0.91262,0.93539,0.59406,1.17669,1.06202,0.60838,0.02217,0,0.0090595,0.0090595,0.0090595
21,192.986,1.12059,1.29728,0.87159,0.01224,0.62246,0.85714,0.93198,0.94904,0.6027,0.85714,0.93198,0.94904,0.57185,1.31876,1.15042,0.60304,0.02225,0,0.00901,0.00901,0.00901
22,200.641,1.15451,1.3106,0.88807,0.01228,0.62385,0.94737,0.92233,0.97051,0.6286,0.93104,0.91262,0.96736,0.60286,1.27638,1.21457,0.54393,0.02662,0,0.0089605,0.0089605,0.0089605
23,208.433,1.16347,1.29548,0.87699,0.01219,0.65201,0.91904,0.93204,0.96769,0.67358,0.91904,0.93204,0.96769,0.62546,1.13041,1.07035,0.50118,0.01999,0,0.008911,0.008911,0.008911
24,216.68,1.18138,1.42551,0.92439,0.01207,0.66892,0.91992,0.99029,0.96827,0.6468,0.91992,0.99029,0.96827,0.59338,1.27729,1.1257,0.50603,0.02376,0,0.0088615,0.0088615,0.0088615
25,224.412,1.15404,1.32955,0.90992,0.0125,0.65265,0.903,0.90378,0.96367,0.67053,0.903,0.90378,0.96367,0.60827,1.09368,1.03824,0.53217,0.01944,0,0.008812,0.008812,0.008812
26,232.45,1.17317,1.31958,0.8511,0.0125,0.6529,0.85823,0.94038,0.95659,0.66668,0.85823,0.94038,0.95659,0.6169,1.1776,1.0532,0.61324,0.02123,0,0.0087625,0.0087625,0.0087625
27,240.084,1.19707,1.34166,0.82122,0.01258,0.61047,0.87503,0.93204,0.96502,0.65459,0.87503,0.93204,0.96502,0.6321,1.15472,0.99409,0.53099,0.02041,0,0.008713,0.008713,0.008713
28,247.768,1.23692,1.37841,0.82659,0.0121,0.72907,0.76016,0.92315,0.89845,0.63251,0.76016,0.92315,0.89845,0.50779,1.09429,1.18315,0.62247,0.01951,0,0.0086635,0.0086635,0.0086635
29,255.543,1.17316,1.4541,0.82856,0.01283,0.73367,0.84064,0.92233,0.92682,0.66293,0.84064,0.92233,0.92682,0.57673,1.10602,1.04889,0.63851,0.02168,0,0.008614,0.008614,0.008614
30,263.367,1.17441,1.37821,0.75132,0.01228,0.68102,0.8964,0.92404,0.95092,0.64768,0.8964,0.92404,0.95092,0.5875,1.22961,1.13692,0.60444,0.02341,0,0.0085645,0.0085645,0.0085645
31,271.099,1.20668,1.31412,0.81162,0.0118,0.68718,0.84888,0.98168,0.9448,0.63619,0.84888,0.98168,0.9448,0.58869,1.211,1.0685,0.5127,0.0221,0,0.008515,0.008515,0.008515
32,279.09,1.14752,1.29501,0.71924,0.012,0.6466,0.91911,0.94175,0.95715,0.66692,0.91911,0.94175,0.95715,0.60279,1.14198,1.06607,0.49261,0.02038,0,0.0084655,0.0084655,0.0084655
33,286.984,1.18316,1.26056,0.75003,0.01237,0.63241,0.90931,0.95146,0.93523,0.64954,0.90931,0.95146,0.93523,0.59402,1.17165,1.04634,0.52159,0.0214,0,0.008416,0.008416,0.008416
34,294.861,1.10567,1.38813,0.72628,0.01212,0.59503,0.91787,0.97657,0.95079,0.60354,0.91787,0.97657,0.95079,0.51645,1.3032,1.23992,0.50613,0.02128,0,0.0083665,0.0083665,0.0083665
35,302.465,1.1096,1.27341,0.68538,0.01167,0.6394,0.9381,0.97087,0.97751,0.71317,0.9381,0.97087,0.97751,0.66187,1.04601,1.02865,0.38064,0.0187,0,0.008317,0.008317,0.008317
36,310.096,1.14407,1.31106,0.69138,0.01173,0.62467,0.88459,0.96743,0.96598,0.64693,0.88459,0.96743,0.96598,0.58832,1.25242,1.16734,0.4892,0.02384,0,0.0082675,0.0082675,0.0082675
37,317.671,1.1619,1.21102,0.67441,0.01241,0.68832,0.8518,0.98058,0.94731,0.62344,0.8518,0.98058,0.94731,0.60908,1.20292,1.15572,0.53011,0.0222,0,0.008218,0.008218,0.008218
38,325.465,1.17108,1.3277,0.69848,0.01203,0.57887,0.90159,0.90291,0.93742,0.65934,0.90159,0.90291,0.93742,0.58024,1.1011,1.09688,0.62252,0.02006,0,0.0081685,0.0081685,0.0081685
39,333.136,1.15653,1.29631,0.702,0.01167,0.66128,0.89065,0.91262,0.94921,0.65611,0.89065,0.91262,0.94921,0.58874,1.1777,1.03341,0.5272,0.02183,0,0.008119,0.008119,0.008119
40,341.085,1.16407,1.23883,0.68182,0.01297,0.628,0.91103,0.89476,0.95556,0.67408,0.91103,0.89476,0.95556,0.59786,1.16151,1.08129,0.51858,0.02157,0,0.0080695,0.0080695,0.0080695
41,348.731,1.15915,1.31598,0.72795,0.01267,0.58237,0.90837,0.99029,0.96208,0.66662,0.90837,0.99029,0.96208,0.59795,1.1845,1.03002,0.46897,0.02242,0,0.00802,0.00802,0.00802
42,356.543,1.1751,1.28833,0.65864,0.01243,0.65891,0.96922,0.95146,0.97985,0.70062,0.96922,0.95146,0.97985,0.65393,1.11816,0.98481,0.39385,0.02004,0,0.0079705,0.0079705,0.0079705
43,364.281,1.08024,1.1831,0.63634,0.01163,0.58897,0.91692,0.96435,0.9646,0.67247,0.91692,0.96435,0.9646,0.64825,1.13729,1.00152,0.4333,0.01932,0,0.007921,0.007921,0.007921
44,372.041,1.15959,1.28745,0.66739,0.01223,0.58797,0.90216,0.91262,0.94647,0.62325,0.90216,0.91262,0.94647,0.62093,1.20627,0.99666,0.49614,0.02126,0,0.0078715,0.0078715,0.0078715
45,379.898,1.13002,1.26004,0.67804,0.01163,0.59846,0.85911,0.94728,0.96388,0.6887,0.85911,0.94728,0.96388,0.65434,1.06164,1.03442,0.44906,0.01923,0,0.007822,0.007822,0.007822
46,387.672,1.0986,1.19033,0.62532,0.01197,0.60735,0.9513,0.94821,0.97801,0.67368,0.9513,0.94821,0.97801,0.65228,1.17324,1.02489,0.39594,0.01952,0,0.0077725,0.0077725,0.0077725
47,395.25,1.19007,1.255,0.65188,0.01265,0.58292,0.9003,0.92233,0.96435,0.68832,0.9003,0.92233,0.96435,0.64151,1.06088,0.96428,0.4597,0.01808,0,0.007723,0.007723,0.007723
48,403.258,1.12723,1.2981,0.65664,0.01169,0.53938,0.91943,0.94175,0.97271,0.69716,0.91943,0.94175,0.97271,0.64158,1.09833,0.94168,0.40706,0.02127,0,0.0076735,0.0076735,0.0076735
49,411.053,1.11381,1.27694,0.65214,0.01096,0.59745,0.94369,0.97618,0.96403,0.67459,0.94369,0.97618,0.96403,0.61039,1.18717,1.02473,0.40477,0.02049,0,0.007624,0.007624,0.007624
50,418.741,1.1276,1.25877,0.62088,0.01176,0.54366,0.90868,0.96612,0.97061,0.66504,0.90868,0.96612,0.97061,0.64922,1.17991,0.99685,0.40455,0.02058,0,0.0075745,0.0075745,0.0075745
51,426.297,1.16815,1.29413,0.64552,0.0119,0.57075,0.94196,0.94538,0.97124,0.6938,0.94196,0.94538,0.97124,0.62986,1.11848,0.98517,0.38229,0.01983,0,0.007525,0.007525,0.007525
52,433.98,1.16597,1.21365,0.60997,0.01192,0.58817,0.87749,0.97357,0.96339,0.69656,0.87749,0.97357,0.96339,0.65466,1.04904,0.97949,0.43995,0.01767,0,0.0074755,0.0074755,0.0074755
53,441.539,1.12797,1.27366,0.63042,0.01171,0.51865,0.931,0.95146,0.9497,0.69431,0.931,0.95146,0.9497,0.60611,1.03594,1.09567,0.47387,0.01868,0,0.007426,0.007426,0.007426
